name,quantity,total price,description,disttributor,buy link,
3d printed parts,8,20,main case of this project,ROBU.IN,https://robu.in/cart/,
DC Power Socket 5.5x2.1mm,2,0.30,for connections,ROBU.IN,https://robu.in/product/2-1x5-5mm-dc-power-jack-dc-socket-panel-mount/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWdF3sdsq24-h51tfV_IiaF59&gclid=Cj0KCQjwjvfSBhDpARIsAEiOpSvY6XoeLf5FEFeQsTzBr7Cqg--kx3iralBxRSafKVqm0Ck0n4GMR70aAuJWEALw_wcB,
0.36 Inch DC Voltmeter,1,0.60,for measure voltage,quartzcomponents.com,https://quartzcomponents.com/products/0-36-inch-dc-voltmeter-0-30v?variant=40374033416376&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gbraid=0AAAAACPPFdNvm6PltVBMbChA_18aTZW-O&gclid=Cj0KCQjwjvfSBhDpARIsAEiOpSvcFUN48uZomdp-IFxDug2mP2j-XqD8IA2TtwWwmSjHlF2k-I8qJJIaAsbrEALw_wcB,
PD 3.0 Trigger Board,1,1,to powr the project from type C,FLYROBO.IN,https://www.flyrobo.in/9v-pdc004-pd-decoy-module-pd23.0,    
KCD1 Rocker Switc,1,0.10,for on and off,ROBU.IN,https://robu.in/product/1-month-warranty-585/,
Mini 360 DC-DC Buck Converter,1,0.40,for stable voltage,FLYROBO.IN,https://www.flyrobo.in/mini-360-dc-dc-buck-converter-step-down-module?srsltid=AfmBOoobu648SnflQWwrJiHmdzhCk_pEnb-8XWZLugZgsrmJxywQ-MSd,
CTSN431/2-Terminal Block,2,0.60,for connections,ROBU.IN,https://robu.in/product/ctsn431-2-terminal-block-barrier-2pos/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcwPZVRLkoHOOyA5m2GGO2oL&gclid=CjwKCAjwvZHTBhAlEiwA1ug5P2v4vqgqKVwlMwPylxxM9sgcBozV8Bjg4AFGtoIW2OSO94HE0T3ziBoCeS4QAvD_BwE,
5*3mm neodiam magnets,4,1,for snap connect parts,onlyscrews.in,https://onlyscrews.in/products/5mm-diameter-neodymium-disc-magnets-n35?currency=INR&country=IN&variant=51060958789945&stkn=6e84ebfba1b8&utm_campaign=sales_shopping_pfmax&gad_source=1&gad_campaignid=23146719598&gbraid=0AAAAA9sP2STFUtBEn5wMYV4kM0xY1W9Ra&gclid=CjwKCAjwvZHTBhAlEiwA1ug5P8ZBYjz8c4o3uVTMEIjEwtCd0BcKSvfn_m-TSPpK8264Q83pN_xCCxoCOPUQAvD_BwE,
120mm colling fan,1,8,for suck the fume,ROBU.IN,https://robu.in/product/waveshare-usb-5v-120mm-quiet-cooling-fan-3-speed-adjustable-pwm-control-high-airflow-anti-vibration-design-compatible-with-multiple-devices/,
screws,9,5,for connect all parts,onlyscrew.in,all size in dif file,
